Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
2595.3,1151.4885,3.67,3.211,5460.001,6755.01,10777.82,1112
7408.64,1172.5125,4.246,3.22,5508.992,6762.02,10500.35,1111
7393.76,1112.992,4.249,3.224,5508.993,6762.02,10420.38,1110
7385.5,1080.320667,4.25,3.225,5502.016,6762.02,10322.81,1109
3301.18,1194.235077,3.674,3.504,5023.633636,5977.38,5977.38,1106
5955.3,1220.135329,4.013,3.501,5017.495,5967.55,5967.55,1105
5951.2,1220.135329,4.014,3.501,5017.496,5962.21,5962.21,1104
5945.44,1216.920914,4.014,3.501,5009.993667,5954.91,5954.91,1103
3228.58,1135.349333,3.689,3.485,5033.075692,5969.89,5969.89,1101
6019.9,1058.279724,4.045,3.475,5053.842846,5980.77,5980.77,1100
6026.59,1049.487845,4.047,3.477,5046.4295,5966.82,5966.82,1099
6008.07,1065.372059,4.045,3.48,5033.075769,5954.47,5954.47,1098
2261.34,883.2,4.038,3.901,1949.664,2922.69,6070.11,1096
2259.46,883.199,4.042,3.373,5181.377,6161.38,9310.98,1095
2256.61,878.4,4.042,3.374,5181.375,6154.37,9296.64,1094
2252.83,873.601,4.043,3.374,5174.334,6147.33,9243.58,1093
2250.62,868.801,4.044,3.374,5160.289,6140.29,9245.53,1092
2248.6,868.797,4.044,3.375,5160.321,6133.34,9248.32,1091
2245.05,864,4.044,3.374,5153.414,6126.4,9215.78,1090
2242.53,861.594,4.044,3.376,5146.368,6119.36,9190.62,1089
2239.56,859.196,4.044,3.377,5139.368,6112.36,9179.43,1088
2237.35,856.797,4.044,3.377,5132.25,6105.27,9181.21,1087
2236.26,856.796,4.045,3.377,5125.344,6098.34,9198.3,1086
2234.38,852,4.045,3.378,5118.368,6091.36,9176.38,1085
2232.16,852,4.045,3.378,5111.328,6084.33,9145.58,1084
2230.78,849.609,4.045,3.377,5111.266,6084.25,9137.28,1083
2229.16,849.594,4.045,3.377,5104.359,6077.38,9131.56,1082
2227.64,847.172,4.045,3.378,5097.344,6077.34,9142.98,1081
2226.38,847.203,4.045,3.377,5090.36,6070.36,9149.66,1080
2223.88,844.797,4.045,3.378,5090.312,6063.3,9133.25,1079
